name,scientificName,barcode
"Panadol Advance 500mg","Paracetamol","62810001"
"Augmentin 1g","Amoxicillin Clavulanate","62810002"
"Brufen 400mg","Ibuprofen","62810003"
"Loratadine 10mg","Loratadine","62810004"
"Omeprazole 20mg","Omeprazole","62810005"
"Zithromax 500mg","Azithromycin","62810006"
"Cetamol 500mg","Paracetamol","62810007"
"Eltroxin 100mcg","Levothyroxine","62810008"
"Concor 5mg","Bisoprolol","62810009"
"Glucophage 850mg","Metformin","62810010"
"BrandMed_11","GenericMed_11","01-AA0-011"
"BrandMed_12","GenericMed_12","01-AA0-012"
"BrandMed_13","GenericMed_13","01-AA0-013"
"BrandMed_14","GenericMed_14","01-AA0-014"
"BrandMed_15","GenericMed_15","01-AA0-015"
"BrandMed_16","GenericMed_16","01-AA0-016"
"BrandMed_17","GenericMed_17","01-AA0-017"
"BrandMed_18","GenericMed_18","01-AA0-018"
"BrandMed_19","GenericMed_19","01-AA0-019"
"BrandMed_20","GenericMed_20","01-AA0-020"
"BrandMed_21","GenericMed_21","01-AA0-021"
"BrandMed_22","GenericMed_22","01-AA0-022"
"BrandMed_23","GenericMed_23","01-AA0-023"
"BrandMed_24","GenericMed_24","01-AA0-024"
"BrandMed_25","GenericMed_25","01-AA0-025"
"BrandMed_26","GenericMed_26","01-AA0-026"
"BrandMed_27","GenericMed_27","01-AA0-027"
"BrandMed_28","GenericMed_28","01-AA0-028"
"BrandMed_29","GenericMed_29","01-AA0-029"
"BrandMed_30","GenericMed_30","01-AA0-030"
"BrandMed_31","GenericMed_31","01-AA0-031"
"BrandMed_32","GenericMed_32","01-AA0-032"
"BrandMed_33","GenericMed_33","01-AA0-033"
"BrandMed_34","GenericMed_34","01-AA0-034"
"BrandMed_35","GenericMed_35","01-AA0-035"
"BrandMed_36","GenericMed_36","01-AA0-036"
"BrandMed_37","GenericMed_37","01-AA0-037"
"BrandMed_38","GenericMed_38","01-AA0-038"
"BrandMed_39","GenericMed_39","01-AA0-039"
"BrandMed_40","GenericMed_40","01-AA0-040"
"BrandMed_41","GenericMed_41","01-AA0-041"
"BrandMed_42","GenericMed_42","01-AA0-042"
"BrandMed_43","GenericMed_43","01-AA0-043"
"BrandMed_44","GenericMed_44","01-AA0-044"
"BrandMed_45","GenericMed_45","01-AA0-045"
"BrandMed_46","GenericMed_46","01-AA0-046"
"BrandMed_47","GenericMed_47","01-AA0-047"
"BrandMed_48","GenericMed_48","01-AA0-048"
"BrandMed_49","GenericMed_49","01-AA0-049"
"BrandMed_50","GenericMed_50","01-AA0-050"
"BrandMed_51","GenericMed_51","01-AA0-051"
"BrandMed_52","GenericMed_52","01-AA0-052"
"BrandMed_53","GenericMed_53","01-AA0-053"
"BrandMed_54","GenericMed_54","01-AA0-054"
"BrandMed_55","GenericMed_55","01-AA0-055"
"BrandMed_56","GenericMed_56","01-AA0-056"
"BrandMed_57","GenericMed_57","01-AA0-057"
"BrandMed_58","GenericMed_58","01-AA0-058"
"BrandMed_59","GenericMed_59","01-AA0-059"
"BrandMed_60","GenericMed_60","01-AA0-060"
"BrandMed_61","GenericMed_61","01-AA0-061"
"BrandMed_62","GenericMed_62","01-AA0-062"
"BrandMed_63","GenericMed_63","01-AA0-063"
"BrandMed_64","GenericMed_64","01-AA0-064"
"BrandMed_65","GenericMed_65","01-AA0-065"
"BrandMed_66","GenericMed_66","01-AA0-066"
"BrandMed_67","GenericMed_67","01-AA0-067"
"BrandMed_68","GenericMed_68","01-AA0-068"
"BrandMed_69","GenericMed_69","01-AA0-069"
"BrandMed_70","GenericMed_70","01-AA0-070"
"BrandMed_71","GenericMed_71","01-AA0-071"
"BrandMed_72","GenericMed_72","01-AA0-072"
"BrandMed_73","GenericMed_73","01-AA0-073"
"BrandMed_74","GenericMed_74","01-AA0-074"
"BrandMed_75","GenericMed_75","01-AA0-075"
"BrandMed_76","GenericMed_76","01-AA0-076"
"BrandMed_77","GenericMed_77","01-AA0-077"
"BrandMed_78","GenericMed_78","01-AA0-078"
"BrandMed_79","GenericMed_79","01-AA0-079"
"BrandMed_80","GenericMed_80","01-AA0-080"
"BrandMed_81","GenericMed_81","01-AA0-081"
"BrandMed_82","GenericMed_82","01-AA0-082"
"BrandMed_83","GenericMed_83","01-AA0-083"
"BrandMed_84","GenericMed_84","01-AA0-084"
"BrandMed_85","GenericMed_85","01-AA0-085"
"BrandMed_86","GenericMed_86","01-AA0-086"
"BrandMed_87","GenericMed_87","01-AA0-087"
"BrandMed_88","GenericMed_88","01-AA0-088"
"BrandMed_89","GenericMed_89","01-AA0-089"
